,Resolution,4,,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,Unique timestamp,Force.z
2022/10/27/22:26:08.439561,2022/10/27/22:26:08.43,5622522,1666934768,438891079,tool0_controller,-2.106440621,-0.110444218,-0.76555937,0.007522111,0.031899397,-0.001413545,,2022/10/27/22:26:09.34,-0.872937802
2022/10/27/22:26:08.450522,2022/10/27/22:26:08.45,5622523,1666934768,449679016,tool0_controller,-1.906796598,0.236619028,-0.610144714,0.005654095,0.026550224,0.007674418,,2022/10/27/22:26:09.35,-0.408628214
2022/10/27/22:26:08.453109,2022/10/27/22:26:08.45,5622524,1666934768,452275851,tool0_controller,-2.112690631,0.145500929,-0.901892871,0.00635885,0.036791211,0.010428205,,2022/10/27/22:26:09.36,-0.953560509
2022/10/27/22:26:08.454337,2022/10/27/22:26:08.45,5622525,1666934768,454200903,tool0_controller,-2.22186218,-0.05409574,-0.773742519,0.00600523,0.037218866,0.00510731,,2022/10/27/22:26:09.37,-1.195666417
2022/10/27/22:26:08.456036,2022/10/27/22:26:08.45,5622526,1666934768,455522507,tool0_controller,-2.025562347,0.257204647,-0.707080645,0.003274502,0.028343792,0.013758891,,2022/10/27/22:26:09.38,-0.7525343
2022/10/27/22:26:08.457892,2022/10/27/22:26:08.45,5622527,1666934768,457396799,tool0_controller,-2.197882736,0.352916529,-0.717210699,0.007335293,0.029893364,0.012700232,,2022/10/27/22:26:09.39,-0.52680202
2022/10/27/22:26:08.459435,2022/10/27/22:26:08.45,5622528,1666934768,458991972,tool0_controller,-2.037454764,0.126139411,-0.420439072,0.009741077,0.019519636,0.004649177,,2022/10/27/22:26:09.40,-0.603169682
2022/10/27/22:26:08.461105,2022/10/27/22:26:08.46,5622529,1666934768,460571336,tool0_controller,-2.222189865,0.310858998,-0.523425737,0.011012182,0.022335011,0.009707671,,2022/10/27/22:26:09.41,-0.902901161
2022/10/27/22:26:08.462768,2022/10/27/22:26:08.46,5622530,1666934768,462171980,tool0_controller,-2.149060805,0.079849179,-0.823444606,0.005612491,0.038548617,0.003829153,,2022/10/27/22:26:09.42,-1.168259197
2022/10/27/22:26:08.464434,2022/10/27/22:26:08.46,5622531,1666934768,463856737,tool0_controller,-2.098355775,-0.038318703,-0.774784688,0.017298907,0.035224263,-0.000811673,,2022/10/27/22:26:09.43,-0.533540167
