time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/10/20/21:06:56.182041,86,0,0,base_link,0.534,0.301,0.119250828512,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.192008,87,0,0,base_link,0.534,0.301,0.119125858061,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.201933,88,0,0,base_link,0.534,0.301,0.11900088761,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.211963,89,0,0,base_link,0.534,0.301,0.11887591809,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.222003,90,0,0,base_link,0.534,0.301,0.118750948571,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.231972,91,0,0,base_link,0.534,0.301,0.118625980914,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.242032,92,0,0,base_link,0.534,0.301,0.118501013257,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.251982,93,0,0,base_link,0.534,0.301,0.118376046531,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.261951,94,0,0,base_link,0.534,0.301,0.118251079805,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.272090,95,0,0,base_link,0.534,0.301,0.118126114942,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.281984,96,0,0,base_link,0.534,0.301,0.118001150079,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.292284,97,0,0,base_link,0.534,0.301,0.117876186147,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.301970,98,0,0,base_link,0.534,0.301,0.117751223147,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.312056,99,0,0,base_link,0.534,0.301,0.117626261078,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.321965,100,0,0,base_link,0.534,0.301,0.117501299009,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.331999,101,0,0,base_link,0.534,0.301,0.117376337871,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.342020,102,0,0,base_link,0.534,0.301,0.117251378596,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.352129,103,0,0,base_link,0.534,0.301,0.117126419321,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.363370,104,0,0,base_link,0.534,0.301,0.117001460977,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.371989,105,0,0,base_link,0.534,0.301,0.116876502633,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.381982,106,0,0,base_link,0.534,0.301,0.116751546152,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.392000,107,0,0,base_link,0.534,0.301,0.116626590602,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.401973,108,0,0,base_link,0.534,0.301,0.116501635052,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.411973,109,0,0,base_link,0.534,0.301,0.116376681365,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.422077,110,0,0,base_link,0.534,0.301,0.116251727678,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.431985,111,0,0,base_link,0.534,0.301,0.116126774922,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.441975,112,0,0,base_link,0.534,0.301,0.116001823097,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.451965,113,0,0,base_link,0.534,0.301,0.115876872204,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.461973,114,0,0,base_link,0.534,0.301,0.115751922242,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.472095,115,0,0,base_link,0.534,0.301,0.115626973212,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.482037,116,0,0,base_link,0.534,0.301,0.115502025113,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.492017,117,0,0,base_link,0.534,0.301,0.115377077945,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.501978,118,0,0,base_link,0.534,0.301,0.115252131708,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.512520,119,0,0,base_link,0.534,0.301,0.115127186403,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.521992,120,0,0,base_link,0.534,0.301,0.115002242029,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.532010,121,0,0,base_link,0.534,0.301,0.114877298586,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.542019,122,0,0,base_link,0.534,0.301,0.114752356075,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.551911,123,0,0,base_link,0.534,0.301,0.114627414495,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.562106,124,0,0,base_link,0.534,0.301,0.114502473846,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.571960,125,0,0,base_link,0.534,0.301,0.114377534129,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.581968,126,0,0,base_link,0.534,0.301,0.114252594411,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.592584,127,0,0,base_link,0.534,0.301,0.114127657488,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.601969,128,0,0,base_link,0.534,0.301,0.114002720565,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.612080,129,0,0,base_link,0.534,0.301,0.113877785504,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.622034,130,0,0,base_link,0.534,0.301,0.113752850443,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.631962,131,0,0,base_link,0.534,0.301,0.113627915382,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.643788,132,0,0,base_link,0.534,0.301,0.113502984047,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.651942,133,0,0,base_link,0.534,0.301,0.113378052711,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.662094,134,0,0,base_link,0.534,0.301,0.113253121376,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.672163,135,0,0,base_link,0.534,0.301,0.113128191903,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.682006,136,0,0,base_link,0.534,0.301,0.11300326243,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.692029,137,0,0,base_link,0.534,0.301,0.11287833482,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.701959,138,0,0,base_link,0.534,0.301,0.112753409073,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.712682,139,0,0,base_link,0.534,0.301,0.112628483325,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.722130,140,0,0,base_link,0.534,0.301,0.11250355944,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.731975,141,0,0,base_link,0.534,0.301,0.112378635556,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.741979,142,0,0,base_link,0.534,0.301,0.112253713533,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.751953,143,0,0,base_link,0.534,0.301,0.112128793374,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.761950,144,0,0,base_link,0.534,0.301,0.112003873214,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.772001,145,0,0,base_link,0.534,0.301,0.111878954917,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.782013,146,0,0,base_link,0.534,0.301,0.11175403662,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.792505,147,0,0,base_link,0.534,0.301,0.111629120186,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.801942,148,0,0,base_link,0.534,0.301,0.111504205614,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.812032,149,0,0,base_link,0.534,0.301,0.111379291043,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.823246,150,0,0,base_link,0.534,0.301,0.111254378334,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.831954,151,0,0,base_link,0.534,0.301,0.111129467487,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.841980,152,0,0,base_link,0.534,0.301,0.111004556641,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.852080,153,0,0,base_link,0.534,0.301,0.110879647657,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.861973,154,0,0,base_link,0.534,0.301,0.110754738674,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.873976,155,0,0,base_link,0.534,0.301,0.110629831553,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.881994,156,0,0,base_link,0.534,0.301,0.110504926294,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.891968,157,0,0,base_link,0.534,0.301,0.110380021036,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.902116,158,0,0,base_link,0.534,0.301,0.11025511764,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.912768,159,0,0,base_link,0.534,0.301,0.110130216107,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.921963,160,0,0,base_link,0.534,0.301,0.110005314574,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.931975,161,0,0,base_link,0.534,0.301,0.109880414903,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.942183,162,0,0,base_link,0.534,0.301,0.109755517095,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.951983,163,0,0,base_link,0.534,0.301,0.109630619287,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.962020,164,0,0,base_link,0.534,0.301,0.109505723342,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.971993,165,0,0,base_link,0.534,0.301,0.10938082926,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.981967,166,0,0,base_link,0.534,0.301,0.109255935177,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.991957,167,0,0,base_link,0.534,0.301,0.10913104482,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.003724,168,0,0,base_link,0.534,0.301,0.1090061526,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.014598,169,0,0,base_link,0.534,0.301,0.108881264105,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.022121,170,0,0,base_link,0.534,0.301,0.108756375611,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.032748,171,0,0,base_link,0.534,0.301,0.108631488979,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.042017,172,0,0,base_link,0.534,0.301,0.10850660421,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.051945,173,0,0,base_link,0.534,0.301,0.10838171944,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.061953,174,0,0,base_link,0.534,0.301,0.108256836534,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.073120,175,0,0,base_link,0.534,0.301,0.10813195549,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.082017,176,0,0,base_link,0.534,0.301,0.108007076308,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.092016,177,0,0,base_link,0.534,0.301,0.107882197127,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.101971,178,0,0,base_link,0.534,0.301,0.107757319808,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.112111,179,0,0,base_link,0.534,0.301,0.107632444352,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.122164,180,0,0,base_link,0.534,0.301,0.107507568896,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.131927,181,0,0,base_link,0.534,0.301,0.107382697165,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.141973,182,0,0,base_link,0.534,0.301,0.107257825434,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.151983,183,0,0,base_link,0.534,0.301,0.107132955566,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.163108,184,0,0,base_link,0.534,0.301,0.107008085698,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.171995,185,0,0,base_link,0.534,0.301,0.106883219555,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.182136,186,0,0,base_link,0.534,0.301,0.106758353412,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.191943,187,0,0,base_link,0.534,0.301,0.106633489132,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.201999,188,0,0,base_link,0.534,0.301,0.106508624852,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.212001,189,0,0,base_link,0.534,0.301,0.106383764297,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.221989,190,0,0,base_link,0.534,0.301,0.106258903742,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.232152,191,0,0,base_link,0.534,0.301,0.10613404505,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:57.242573,192,0,0,base_link,0.534,0.301,0.10600918822,-0.3828,0.9238,0.0,0.0
