,Resolution,4,,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,Unique timestamp,Force.z
2022/10/27/22:18:55.669558,2022/10/27/22:18:55.66,5406524,1666934335,669362718,tool0_controller,-1.202077281,0.203942662,-0.38847698,0.009061877,0.015280223,0.006767435,,2022/10/27/22:18:56.00,-0.380672511
2022/10/27/22:18:55.671699,2022/10/27/22:18:55.67,5406525,1666934335,671068415,tool0_controller,-1.289411082,-0.152262005,-0.80839867,0.015080446,0.020402728,-0.004080475,,2022/10/27/22:18:56.01,-0.291845306
2022/10/27/22:18:55.675385,2022/10/27/22:18:55.67,5406526,1666934335,672773435,tool0_controller,-1.422775964,0.12395288,-0.348740085,0.011556981,0.011489761,0.004987671,,2022/10/27/22:18:56.02,-0.130772075
2022/10/27/22:18:55.676463,2022/10/27/22:18:55.67,5406527,1666934335,676124208,tool0_controller,-1.199381512,-0.200726677,-0.283884837,-0.000363431,0.025603569,0.005761784,,2022/10/27/22:18:56.03,-0.158660432
2022/10/27/22:18:55.678216,2022/10/27/22:18:55.67,5406528,1666934335,677793956,tool0_controller,-1.393593615,-0.325153969,-0.340075736,-8.07E-05,0.03293186,-0.002737637,,2022/10/27/22:18:56.04,-0.054746727
2022/10/27/22:18:55.679906,2022/10/27/22:18:55.67,5406529,1666934335,679567544,tool0_controller,-1.373193789,-0.075521638,-0.372152931,-0.000864841,0.033608883,-0.001055495,,2022/10/27/22:18:56.05,-0.789193772
2022/10/27/22:18:55.682745,2022/10/27/22:18:55.68,5406530,1666934335,681975155,tool0_controller,-1.575064326,-0.353415207,-0.515006149,0.004338191,0.020007251,0.002498047,,2022/10/27/22:18:56.06,-0.277571831
2022/10/27/22:18:55.684258,2022/10/27/22:18:55.68,5406531,1666934335,683931286,tool0_controller,-1.253989765,-0.212790316,-0.633862541,-0.001471651,0.004612888,0.004399001,,2022/10/27/22:18:56.07,-0.548006633
2022/10/27/22:18:55.685929,2022/10/27/22:18:55.68,5406532,1666934335,685730964,tool0_controller,-0.884980269,-0.320780913,-0.514207037,-0.004828727,0.006151429,0.000764014,,2022/10/27/22:18:56.08,-0.446621281
2022/10/27/22:18:55.688162,2022/10/27/22:18:55.68,5406533,1666934335,687697655,tool0_controller,-0.871255686,0.129720276,-0.14551261,0.006053807,0.014938913,-0.008115664,,2022/10/27/22:18:56.09,-0.188207354
2022/10/27/22:18:55.689907,2022/10/27/22:18:55.68,5406534,1666934335,689381053,tool0_controller,-1.077402309,0.743114175,-0.048612414,0.003840135,0.037008868,0.001859102,,2022/10/27/22:18:56.10,-0.610948805
2022/10/27/22:18:55.690971,2022/10/27/22:18:55.69,5406535,1666934335,690771449,tool0_controller,-1.273953927,-0.123406714,-0.151153487,-0.005289631,0.048909058,-0.010158481,,2022/10/27/22:18:56.11,-0.072470531
2022/10/27/22:18:55.692673,2022/10/27/22:18:55.69,5406536,1666934335,692341441,tool0_controller,-1.415940693,-0.435217545,-0.322660685,-0.011978439,0.032648289,0.001443918,,2022/10/27/22:18:56.12,-0.240405332
2022/10/27/22:18:55.694299,2022/10/27/22:18:55.69,5406537,1666934335,693762109,tool0_controller,-1.107287793,-0.559528638,-0.642546567,-0.021013526,0.008780004,0.003094373,,2022/10/27/22:18:56.13,-0.286074707
2022/10/27/22:18:55.695980,2022/10/27/22:18:55.69,5406538,1666934335,695396559,tool0_controller,-1.433063726,0.16199808,-0.863743428,-0.00722122,-0.000731863,0.000569072,,2022/10/27/22:18:56.14,-0.760596292
2022/10/27/22:18:55.698295,2022/10/27/22:18:55.69,5406539,1666934335,697953199,tool0_controller,-1.190312242,0.539800187,-0.84424286,0.022309184,0.009199601,-0.001678621,,2022/10/27/22:18:56.15,-0.376344926
2022/10/27/22:18:55.701128,2022/10/27/22:18:55.70,5406540,1666934335,699562820,tool0_controller,-1.226027978,0.306095115,-0.244027644,0.021739604,0.020061954,-0.003794701,,2022/10/27/22:18:56.16,-0.662747566
2022/10/27/22:18:55.701589,2022/10/27/22:18:55.70,5406541,1666934335,701329146,tool0_controller,-1.430201066,-0.333853503,-0.056530901,-0.002774274,0.048311567,0.001063655,,2022/10/27/22:18:56.17,-0.431837085
2022/10/27/22:18:55.703227,2022/10/27/22:18:55.70,5406542,1666934335,702650612,tool0_controller,-1.234677209,-0.164873959,-0.04987951,-0.01452797,0.040085192,0.005088006,,2022/10/27/22:18:56.18,-0.278829241
2022/10/27/22:18:55.704363,2022/10/27/22:18:55.70,5406543,1666934335,704275630,tool0_controller,-1.202797096,-0.031325894,-0.664253739,-0.010441434,0.022162662,1.38E-05,,2022/10/27/22:18:56.19,-0.486006976
2022/10/27/22:18:55.706052,2022/10/27/22:18:55.70,5406544,1666934335,705955124,tool0_controller,-1.389383822,0.290720353,-0.868182591,0.005158817,0.006351991,-0.006153967,,2022/10/27/22:18:56.20,-0.346323896
2022/10/27/22:18:55.708282,2022/10/27/22:18:55.70,5406545,1666934335,707896689,tool0_controller,-1.434704515,0.375885863,-0.681204899,0.013240152,0.002240825,0.000485876,,2022/10/27/22:18:56.21,-0.594462706
2022/10/27/22:18:55.709972,2022/10/27/22:18:55.70,5406546,1666934335,709859822,tool0_controller,-1.243849478,0.04900924,-0.497266994,0.001104776,0.018734967,0.003385437,,2022/10/27/22:18:56.22,-0.103959308
2022/10/27/22:18:55.712411,2022/10/27/22:18:55.71,5406547,1666934335,711772020,tool0_controller,-1.385868936,-0.2829509,-0.280700268,-0.010224056,0.045508383,0.003038129,,2022/10/27/22:18:56.23,-0.561671778
