Elbow joint,Shoulder lift joint,Shoulder pan joint,Wrist 1 joint,Wrist 2 joint,Wrist 3 joint
1.81982166,-1.255226926,0.152836636,-0.561889605,0.936269641,-3.140420739
1.81979448,-1.255251871,0.152786583,-0.561862425,0.936268449,-3.140433375
1.819807355,-1.255240099,0.152847961,-0.561849908,0.936267078,-3.14039499
1.819795911,-1.25525345,0.152798891,-0.561885671,0.936243474,-3.140433375
1.819772069,-1.255215721,0.152812228,-0.561823682,0.936231434,-3.140409295
1.819796864,-1.25521575,0.152822495,-0.561814265,0.936217487,-3.140431468
1.819796864,-1.255226807,0.15278554,-0.561838703,0.936232507,-3.140394036
1.819757764,-1.255214648,0.152786121,-0.561838464,0.936220467,-3.140445058
1.819796387,-1.255227612,0.152810842,-0.561862187,0.936232448,-3.140444342
1.81975824,-1.255214975,0.152785704,-0.561835007,0.936183691,-3.140420262
1.819773499,-1.255239175,0.152810901,-0.561811761,0.936232448,-3.14044625
1.819736306,-1.255253689,0.152799577,-0.561801986,0.936207652,-3.140408341
1.819772545,-1.255227224,0.152812004,-0.561815338,0.936233401,-3.140395228
1.819797341,-1.255190746,0.152797714,-0.561815457,0.936196089,-3.140444819
1.819746796,-1.255203204,0.152800635,-0.561839418,0.936232686,-3.140469615
1.819759194,-1.255216406,0.152823731,-0.561788873,0.936183095,-3.140406434
1.819773499,-1.255179302,0.152786106,-0.561825828,0.936208129,-3.140407626
1.819737736,-1.255228595,0.15279898,-0.561779694,0.936196208,-3.140432183
1.819760625,-1.255203651,0.152822852,-0.561803774,0.936172247,-3.140394751
1.819796864,-1.25520374,0.152811155,-0.561802344,0.936195076,-3.14038283
1.819784466,-1.255240069,0.152773798,-0.561787204,0.936172962,-3.140420262
1.819771115,-1.255190627,0.152812809,-0.561774687,0.936196148,-3.140395943
1.819773976,-1.255203919,0.152824014,-0.561764316,0.936158597,-3.140384976
1.819736783,-1.255214677,0.152798235,-0.561778979,0.936183035,-3.140421216
1.81973726,-1.255203591,0.152773932,-0.561779575,0.936134756,-3.140372817
1.819735352,-1.255178199,0.15279904,-0.56176527,0.93617171,-3.140445534
1.819772545,-1.255230473,0.152811512,-0.561754422,0.936172724,-3.140407864
1.819798295,-1.255204247,0.152823269,-0.561805801,0.936136901,-3.140394274
1.819760148,-1.255227701,0.152823552,-0.561792807,0.936160207,-3.140395943
1.819759671,-1.255251662,0.152798086,-0.561815457,0.936196148,-3.140412156
1.819784466,-1.255203919,0.15281035,-0.561791257,0.936120927,-3.140435044
1.819760625,-1.255204247,0.152798846,-0.561803059,0.936147988,-3.14040858
1.819784466,-1.255240695,0.15280062,-0.561790423,0.936148882,-3.140418832
1.819786374,-1.255253242,0.15281193,-0.56176515,0.936138093,-3.140419547
1.819786851,-1.255253033,0.152773917,-0.561767296,0.936136186,-3.14039499
1.81978542,-1.255227373,0.152798519,-0.561819033,0.936136425,-3.140432898
1.819797341,-1.255215363,0.152836308,-0.561829047,0.936173797,-3.1404205
1.819796387,-1.255215333,0.15282315,-0.561838941,0.936174273,-3.140445058
1.819795911,-1.255202131,0.152835712,-0.561838464,0.93619889,-3.140458171
1.819784466,-1.255228655,0.152823657,-0.561838822,0.936186254,-3.140420262
1.819784466,-1.255240904,0.15281035,-0.561850981,0.936196446,-3.14039499
1.819822613,-1.255214737,0.152810037,-0.561813907,0.936159432,-3.140406911
1.81982166,-1.255214469,0.152786538,-0.561837987,0.936184347,-3.1404205
1.819795911,-1.255265252,0.152774066,-0.561824993,0.936197579,-3.140407387
1.81978399,-1.255227731,0.152799234,-0.561813549,0.93619746,-3.14039642
1.819811169,-1.25522791,0.152809918,-0.561864213,0.936159551,-3.140394751
1.819797341,-1.255227969,0.152810931,-0.561827497,0.936197519,-3.140370194
1.819822613,-1.255252348,0.152787536,-0.561815218,0.936196148,-3.140409772
1.819796387,-1.25521426,0.152798474,-0.56186171,0.936196327,-3.140396659
1.81979448,-1.255203084,0.15286094,-0.561862187,0.936195314,-3.140433137
1.819794957,-1.255215214,0.15278627,-0.561825947,0.936208427,-3.140384738
1.819811169,-1.255215095,0.152798444,-0.561888294,0.936196685,-3.140383546
1.819795434,-1.255240963,0.15283598,-0.561875419,0.936184883,-3.140433375
1.819795911,-1.255276607,0.152823314,-0.561850027,0.93617183,-3.140371386
1.81982166,-1.25521578,0.152796984,-0.561839775,0.936196327,-3.140370671
1.819809262,-1.255203531,0.152786255,-0.561877446,0.936159015,-3.140408103
1.81979448,-1.255228118,0.152785242,-0.56183763,0.936184406,-3.140409772
1.819833581,-1.25520371,0.152822569,-0.561874704,0.936147153,-3.14044625
1.819824044,-1.255215959,0.152823672,-0.561863379,0.936161458,-3.140397135
1.819810216,-1.255192028,0.152823105,-0.561892347,0.936186671,-3.140383546
1.81982166,-1.255214707,0.152823985,-0.561890201,0.936197281,-3.14040858
1.819808308,-1.255203561,0.152810842,-0.561951594,0.936182499,-3.140409056
1.819795434,-1.255240993,0.152824417,-0.56192501,0.93615967,-3.140383307
1.81982309,-1.25522782,0.152772978,-0.561973528,0.936172307,-3.140395466
1.819833104,-1.255228387,0.152823642,-0.561945753,0.936186552,-3.140408341
1.819821183,-1.255201445,0.152774915,-0.561932639,0.9361853,-3.140397135
1.819819276,-1.255252884,0.152798876,-0.561907248,0.936233878,-3.140396182
1.819805447,-1.255226032,0.152823851,-0.561856703,0.936232269,-3.140408818
1.81978399,-1.255240427,0.152797759,-0.561846451,0.936208785,-3.14039642
1.819771115,-1.255192475,0.152797833,-0.561799602,0.936171234,-3.140445296
1.81975824,-1.255215333,0.152811244,-0.56183608,0.93615824,-3.140421454
