,resolution,4,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,Unique timestamp,Force.z
2022/10/20/22:00:00.961250,2022/10/20/22:00:00.96,3398970,1666328400,960668147,tool0_controller,0.319543538,1.053613309,-0.468694375,-0.035180707,-0.03361896,-0.031366828,2022/10/20/22:00:01.41,1.291940408
2022/10/20/22:00:00.962372,2022/10/20/22:00:00.96,3398971,1666328400,961964392,tool0_controller,0.0054743,0.991653604,0.170167444,-0.028692383,-0.002775275,-0.033847575,2022/10/20/22:00:01.42,-1.227998149
2022/10/20/22:00:00.963503,2022/10/20/22:00:00.96,3398972,1666328400,963267167,tool0_controller,-0.319771468,-0.218675195,0.828416296,-0.091316419,0.04174397,-0.00585887,2022/10/20/22:00:01.43,-0.773141681
2022/10/20/22:00:00.965184,2022/10/20/22:00:00.96,3398973,1666328400,964611492,tool0_controller,-0.750516403,-1.254218183,0.967117693,-0.136561666,0.050779371,0.025019942,2022/10/20/22:00:01.44,-0.417037355
2022/10/20/22:00:00.966868,2022/10/20/22:00:00.96,3398974,1666328400,966408481,tool0_controller,-0.240697627,-0.873989272,0.06609236,-0.106594725,0.01029068,0.020992589,2022/10/20/22:00:01.45,-0.253182496
2022/10/20/22:00:00.969113,2022/10/20/22:00:00.96,3398975,1666328400,968450025,tool0_controller,0.385260115,0.485064247,-0.618615675,-0.049713364,-0.034901928,-0.008022833,2022/10/20/22:00:01.46,-0.408952651
2022/10/20/22:00:00.970798,2022/10/20/22:00:00.97,3398976,1666328400,970444323,tool0_controller,0.368435889,0.844743993,-0.80289071,-0.032660652,-0.034096735,-0.029245764,2022/10/20/22:00:01.47,0.918524757
2022/10/20/22:00:00.973065,2022/10/20/22:00:00.97,3398977,1666328400,972408509,tool0_controller,0.128725849,0.654275123,0.036237163,-0.073753088,-0.004735161,-0.008514092,2022/10/20/22:00:01.48,-0.832005837
2022/10/20/22:00:00.974747,2022/10/20/22:00:00.97,3398978,1666328400,974413378,tool0_controller,-0.124426676,-0.277004709,0.421011789,-0.108574559,0.037101978,0.005942455,2022/10/20/22:00:01.49,1.34335741
2022/10/20/22:00:00.976995,2022/10/20/22:00:00.97,3398979,1666328400,976430830,tool0_controller,0.013651846,-0.619571862,0.66080477,-0.104596192,0.033242053,0.009876001,2022/10/20/22:00:01.50,1.105759825
2022/10/20/22:00:00.978706,2022/10/20/22:00:00.97,3398980,1666328400,978532853,tool0_controller,-0.261133469,-0.13027139,0.061041789,-0.073501441,0.01481981,-0.001028582,2022/10/20/22:00:01.51,-0.989019906
2022/10/20/22:00:00.980904,2022/10/20/22:00:00.98,3398981,1666328400,980464189,tool0_controller,0.12904433,0.269070803,-0.495161547,-0.053082876,-0.031184064,-0.013405711,2022/10/20/22:00:01.52,0.283587303
2022/10/20/22:00:00.982616,2022/10/20/22:00:00.98,3398982,1666328400,982467319,tool0_controller,0.095613524,-0.082206632,-0.881747701,-0.056119702,-0.035493437,-0.02082083,2022/10/20/22:00:01.53,0.50618498
2022/10/20/22:00:00.984847,2022/10/20/22:00:00.98,3398983,1666328400,984497083,tool0_controller,-0.221267862,0.090850952,-0.194548575,-0.084928922,-0.017687089,-0.004081134,2022/10/20/22:00:01.54,-0.288492258
2022/10/20/22:00:00.987080,2022/10/20/22:00:00.98,3398984,1666328400,986439178,tool0_controller,-0.325101603,-0.723430407,0.048043382,-0.097570346,0.02292661,-0.000340849,2022/10/20/22:00:01.55,-0.337823514
2022/10/20/22:00:00.988749,2022/10/20/22:00:00.98,3398985,1666328400,988448179,tool0_controller,-0.510711189,-0.482149165,0.245152704,-0.09385482,0.028864191,0.012412299,2022/10/20/22:00:01.56,-0.148703963
2022/10/20/22:00:00.991009,2022/10/20/22:00:00.99,3398986,1666328400,990431024,tool0_controller,0.0317635,0.27649735,0.071801348,-0.08557998,0.003953517,0.008674432,2022/10/20/22:00:01.57,0.13041174
2022/10/20/22:00:00.992665,2022/10/20/22:00:00.99,3398987,1666328400,992431305,tool0_controller,-0.111702269,0.025294865,-0.338400326,-0.056167487,-0.021791121,-0.009889036,2022/10/20/22:00:01.58,0.286257492
2022/10/20/22:00:00.994936,2022/10/20/22:00:00.99,3398988,1666328400,994443666,tool0_controller,-0.072874506,0.522899166,-0.735052904,-0.064024526,-0.023086833,-0.012123503,2022/10/20/22:00:01.59,-0.137938651
