,Resolution,4,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,Unique Timestamp,Force.z
2022/10/20/21:26:55.933200,2022/10/20/21:26:55.93,2410219,1666326415,930524268,tool0_controller,-0.377425053,1.906184479,0.519415653,0.191070404,-0.086396611,-0.001575181,2022/10/20/21:26:56.49,0.659352313
2022/10/20/21:26:55.934918,2022/10/20/21:26:55.93,2410220,1666326415,934260654,tool0_controller,0.601704547,0.84418953,2.122239461,0.212023306,0.070603883,0.025268573,2022/10/20/21:26:56.50,0.486579449
2022/10/20/21:26:55.936591,2022/10/20/21:26:55.93,2410221,1666326415,936139258,tool0_controller,0.203649704,0.406088681,1.757923959,0.12944839,0.054013953,0.033764074,2022/10/20/21:26:56.51,0.887906188
2022/10/20/21:26:55.938841,2022/10/20/21:26:55.93,2410222,1666326415,938265485,tool0_controller,-0.482105917,1.478607809,0.76284408,0.121196555,-0.012650899,0.015082702,2022/10/20/21:26:56.52,0.474687758
2022/10/20/21:26:55.940600,2022/10/20/21:26:55.94,2410223,1666326415,940343131,tool0_controller,0.050652067,2.292719702,-0.201103248,0.189152125,-0.120482493,-0.005978234,2022/10/20/21:26:56.53,0.407081699
2022/10/20/21:26:55.942858,2022/10/20/21:26:55.94,2410224,1666326415,942370030,tool0_controller,0.492595535,1.668332255,-0.688700284,0.207116124,-0.138029433,-0.014604713,2022/10/20/21:26:56.54,0.942635311
2022/10/20/21:26:55.944563,2022/10/20/21:26:55.94,2410225,1666326415,944311888,tool0_controller,0.154940967,1.305985828,0.59180857,0.165672474,-0.042514647,-0.000835703,2022/10/20/21:26:56.55,0.617469423
2022/10/20/21:26:55.946756,2022/10/20/21:26:55.94,2410226,1666326415,946428581,tool0_controller,-0.394782316,0.704473879,2.052800138,0.171763697,0.061513217,0.030936495,2022/10/20/21:26:56.56,0.813775861
2022/10/20/21:26:55.949719,2022/10/20/21:26:55.94,2410227,1666326415,948534923,tool0_controller,-0.61215026,0.420318261,2.047899185,0.175529766,0.071428133,0.02550003,2022/10/20/21:26:56.57,1.197159544
2022/10/20/21:26:55.950673,2022/10/20/21:26:55.95,2410228,1666326415,950432286,tool0_controller,-0.391732113,1.062338763,1.318015101,0.185940876,-0.006847534,0.005521101,2022/10/20/21:26:56.58,0.530606962
2022/10/20/21:26:55.953173,2022/10/20/21:26:55.95,2410229,1666326415,952261531,tool0_controller,0.1616169,1.884930722,-0.428847624,0.193829211,-0.093693266,-0.003183526,2022/10/20/21:26:56.59,-0.19181836
2022/10/20/21:26:55.954304,2022/10/20/21:26:55.95,2410230,1666326415,954103604,tool0_controller,-0.002105037,1.803123398,-1.096609769,0.1661836,-0.097737928,-0.001311742,2022/10/20/21:26:56.60,0.74915408
2022/10/20/21:26:55.957554,2022/10/20/21:26:55.95,2410231,1666326415,955910073,tool0_controller,-0.555784272,0.863331356,-0.178644582,0.142921946,-0.04317548,0.011194495,2022/10/20/21:26:56.61,0.873725242
2022/10/20/21:26:55.958101,2022/10/20/21:26:55.95,2410232,1666326415,957670405,tool0_controller,-0.838158253,0.112004358,1.575903354,0.144418528,0.02818283,0.026274565,2022/10/20/21:26:56.62,0.50549438
2022/10/20/21:26:55.959859,2022/10/20/21:26:55.95,2410233,1666326415,959416692,tool0_controller,-1.130071241,0.108044933,2.422649405,0.160232152,0.061884965,0.03162094,2022/10/20/21:26:56.63,0.594810379
2022/10/20/21:26:55.961456,2022/10/20/21:26:55.96,2410234,1666326415,961169068,tool0_controller,-0.531088756,0.648604884,0.879070032,0.18708527,0.019764599,0.030041277,2022/10/20/21:26:56.64,1.446833144
2022/10/20/21:26:55.964546,2022/10/20/21:26:55.96,2410235,1666326415,963760735,tool0_controller,0.007210334,1.262581532,-0.638811466,0.182867819,-0.058919413,0.013316961,2022/10/20/21:26:56.65,0.983107453
2022/10/20/21:26:55.966245,2022/10/20/21:26:55.96,2410236,1666326415,966038260,tool0_controller,-0.013716372,1.422689957,-0.473567777,0.163663677,-0.104612353,0.00582675,2022/10/20/21:26:56.66,-0.284411775
2022/10/20/21:26:55.968642,2022/10/20/21:26:55.96,2410237,1666326415,967920043,tool0_controller,-0.346972522,0.955147056,0.255393398,0.15247631,-0.067036833,0.014113307,2022/10/20/21:26:56.67,0.304988484
2022/10/20/21:26:55.970759,2022/10/20/21:26:55.97,2410238,1666326415,970373091,tool0_controller,-0.371840801,0.762697475,1.522316341,0.150953745,-0.007088241,0.027851061,2022/10/20/21:26:56.68,1.352458213
2022/10/20/21:26:55.972910,2022/10/20/21:26:55.97,2410239,1666326415,972397537,tool0_controller,0.064344552,0.559412042,1.442643686,0.163856301,0.038890733,0.022873996,2022/10/20/21:26:56.69,0.872619793
2022/10/20/21:26:55.974030,2022/10/20/21:26:55.97,2410240,1666326415,973676879,tool0_controller,0.275481828,1.37226072,1.159573305,0.19608883,0.021830969,0.016339357,2022/10/20/21:26:56.70,0.721131798
2022/10/20/21:26:55.979985,2022/10/20/21:26:55.97,2410241,1666326415,975323080,tool0_controller,0.271325446,1.69573876,0.666979915,0.186112882,-0.034974628,0.00197497,2022/10/20/21:26:56.71,0.724565451
2022/10/20/21:26:55.980008,2022/10/20/21:26:55.98,2410242,1666326415,977225595,tool0_controller,0.305284856,1.412341313,-0.095745454,0.166232183,-0.067181475,0.000545593,2022/10/20/21:26:56.72,0.504533136
2022/10/20/21:26:55.981872,2022/10/20/21:26:55.98,2410243,1666326415,978552567,tool0_controller,0.268622317,1.159697967,-0.01979708,0.147878367,-0.062552951,0.010786103,2022/10/20/21:26:56.73,0.711478713
2022/10/20/21:26:55.981913,2022/10/20/21:26:55.98,2410244,1666326415,979901495,tool0_controller,-0.122897958,1.410425501,0.832833878,0.15082362,-0.024935248,0.020098854,2022/10/20/21:26:56.74,1.12704342
2022/10/20/21:26:55.981924,2022/10/20/21:26:55.98,2410245,1666326415,981395203,tool0_controller,-0.280632061,1.274750235,1.236187491,0.183059412,0.00855341,0.008329781,2022/10/20/21:26:56.75,0.5904667
2022/10/20/21:26:55.983020,2022/10/20/21:26:55.98,2410246,1666326415,982835565,tool0_controller,-0.298442197,1.168342936,0.998163878,0.194636865,0.002564167,0.001253001,2022/10/20/21:26:56.76,0.6499216
2022/10/20/21:26:55.984996,2022/10/20/21:26:55.98,2410247,1666326415,984660724,tool0_controller,-0.435926017,1.258732582,0.341426817,0.187622641,-0.031239722,0.006467441,2022/10/20/21:26:56.77,1.050839494
2022/10/20/21:26:55.986695,2022/10/20/21:26:55.98,2410248,1666326415,986054097,tool0_controller,-0.203496554,1.146224907,-0.481569384,0.162359515,-0.052370105,0.016077561,2022/10/20/21:26:56.78,0.838780484
2022/10/20/21:26:55.987752,2022/10/20/21:26:55.98,2410249,1666326415,987472993,tool0_controller,-0.296484588,0.846860354,0.39809262,0.148308111,-0.050871214,0.017967908,2022/10/20/21:26:56.79,0.754972093
2022/10/20/21:26:55.989404,2022/10/20/21:26:55.98,2410250,1666326415,988844976,tool0_controller,-0.672261067,0.945507737,0.948451335,0.160325933,-0.000751635,0.020976472,2022/10/20/21:26:56.80,1.163712335
2022/10/20/21:26:55.991071,2022/10/20/21:26:55.99,2410251,1666326415,990522081,tool0_controller,-0.478194259,0.664648143,1.225646731,0.1744998,0.022303265,0.008796636,2022/10/20/21:26:56.81,0.215832159
2022/10/20/21:26:55.999978,2022/10/20/21:26:55.99,2410252,1666326415,992525138,tool0_controller,-0.284257548,0.970696155,1.078657097,0.176916854,0.005584874,0.018828099,2022/10/20/21:26:56.82,0.419605823
2022/10/20/21:26:56.000049,2022/10/20/21:26:56.00,2410254,1666326415,995297978,tool0_controller,-0.255197228,1.145747822,-0.093701216,0.158604274,-0.06328876,0.02208794,2022/10/20/21:26:56.83,0.757391819
2022/10/20/21:26:56.000056,2022/10/20/21:26:56.00,2410255,1666326415,996583647,tool0_controller,-0.123615721,0.91763863,0.123912329,0.16368711,-0.05794059,0.010722367,2022/10/20/21:26:56.84,1.004025128
2022/10/20/21:26:56.000071,2022/10/20/21:26:56.00,2410256,1666326415,997845772,tool0_controller,0.093405991,1.089273561,0.957728929,0.168280521,-0.022476201,0.010548996,2022/10/20/21:26:56.85,0.243592528
2022/10/20/21:26:56.000076,2022/10/20/21:26:56.00,2410257,1666326415,999105128,tool0_controller,0.081040104,1.414619248,1.672883746,0.160046541,0.012755014,0.015480984,2022/10/20/21:26:56.86,1.517956932
2022/10/20/21:26:56.001059,2022/10/20/21:26:56.00,2410258,1666326416,656897,tool0_controller,-0.041330841,1.183637362,1.589080519,0.164893209,0.022813357,0.008511708,2022/10/20/21:26:56.87,2.002011947
2022/10/20/21:26:56.002817,2022/10/20/21:26:56.00,2410259,1666326416,2367726,tool0_controller,0.0351598,1.139440489,0.974448969,0.163490658,-0.011806169,0.004591423,2022/10/20/21:26:56.88,0.362775054
2022/10/20/21:26:56.005036,2022/10/20/21:26:56.00,2410260,1666326416,4385848,tool0_controller,0.067562725,1.206658494,0.191996365,0.172377293,-0.052445275,0.00587364,2022/10/20/21:26:56.89,0.849126711
2022/10/20/21:26:56.006724,2022/10/20/21:26:56.00,2410261,1666326416,6414678,tool0_controller,-0.00852563,1.559398137,-0.054940304,0.168563508,-0.069564041,0.015365484,2022/10/20/21:26:56.90,1.417928693
2022/10/20/21:26:56.008932,2022/10/20/21:26:56.00,2410262,1666326416,8347165,tool0_controller,-0.249523088,1.009206021,0.296356361,0.176308055,-0.036913596,0.005688825,2022/10/20/21:26:56.91,-0.295220851
2022/10/20/21:26:56.010590,2022/10/20/21:26:56.01,2410263,1666326416,10322488,tool0_controller,-0.419662226,0.939498842,0.889192041,0.165357065,-0.006054755,0.010065088,2022/10/20/21:26:56.92,0.411799303
2022/10/20/21:26:56.013129,2022/10/20/21:26:56.01,2410264,1666326416,12335199,tool0_controller,-0.5131968,1.194197356,1.236386421,0.158698808,0.007979264,0.02374311,2022/10/20/21:26:56.93,1.980561243
2022/10/20/21:26:56.016641,2022/10/20/21:26:56.01,2410265,1666326416,14355238,tool0_controller,-0.469605409,1.311740829,0.952335666,0.161101138,-0.005449233,0.024714616,2022/10/20/21:26:56.94,1.843711822
2022/10/20/21:26:56.018774,2022/10/20/21:26:56.01,2410266,1666326416,18384094,tool0_controller,-0.638761085,0.777151434,-0.316891332,0.164996705,-0.048130151,0.016529849,2022/10/20/21:26:56.95,0.887621256
2022/10/20/21:26:56.020954,2022/10/20/21:26:56.02,2410267,1666326416,20400142,tool0_controller,-0.495202892,0.759812956,-0.27359655,0.162697491,-0.048156441,0.019888066,2022/10/20/21:26:56.96,0.339414736
2022/10/20/21:26:56.022659,2022/10/20/21:26:56.02,2410268,1666326416,22381989,tool0_controller,-0.244440375,0.914208787,0.72142434,0.164485447,-0.035828876,0.016339469,2022/10/20/21:26:56.97,0.050351741
2022/10/20/21:26:56.024917,2022/10/20/21:26:56.02,2410269,1666326416,24387597,tool0_controller,-0.211785923,1.551252005,1.236945267,0.175529313,-0.00539095,0.014157818,2022/10/20/21:26:56.98,0.917882904
2022/10/20/21:26:56.028211,2022/10/20/21:26:56.02,2410270,1666326416,27731920,tool0_controller,-0.02486138,1.434466328,1.228093116,0.168117107,0.003937291,0.006881254,2022/10/20/21:26:56.99,0.163365088
2022/10/20/21:26:56.030501,2022/10/20/21:26:56.03,2410271,1666326416,29897376,tool0_controller,-0.056897736,0.94898867,0.979422569,0.148635913,-0.010615815,0.016668117,2022/10/20/21:26:57.00,1.441626366
2022/10/20/21:26:56.032088,2022/10/20/21:26:56.03,2410272,1666326416,31500968,tool0_controller,-0.035827458,0.640559111,0.960652848,0.132701592,-0.03858521,0.028794495,2022/10/20/21:26:57.01,0.252206073
2022/10/20/21:26:56.033175,2022/10/20/21:26:56.03,2410273,1666326416,32834570,tool0_controller,-0.065474933,0.970510426,0.545086534,0.160027855,-0.043133602,0.022330117,2022/10/20/21:26:57.02,1.270891264
