time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,,,,,,,,,,
2022/11/02/21:16:40.097887,7026188,1667449000,97586497,tool0_controller,-0.122623067,0.203972648,0.876606557,-0.012328624,-0.009595877,0.01142947,,,,,,,,,,,
2022/11/02/21:16:40.100194,7026189,1667449000,99558955,tool0_controller,-0.078026966,0.567949572,0.80163735,-0.013973722,-0.020107317,0.014757644,,,,,,,,,,,
2022/11/02/21:16:40.102296,7026190,1667449000,101783530,tool0_controller,-0.165090392,0.311376626,0.469284144,-0.008039395,-0.013286257,0.002208682,,,,,,,,,,,
2022/11/02/21:16:40.104508,7026191,1667449000,103868827,tool0_controller,-0.19672772,0.430301212,0.737329452,-0.00794534,-0.015956546,0.00390914,,,,,,,,,,,
2022/11/02/21:16:40.106109,7026192,1667449000,105890726,tool0_controller,-0.236765227,0.711927221,0.8722191,-0.00675357,-0.014663374,0.005428468,,,,,,,,,,,
2022/11/02/21:16:40.108395,7026193,1667449000,107767040,tool0_controller,-0.142085978,0.871939877,0.776575745,-0.0063536,-0.015373238,0.007990353,,,,,,,,,,,
2022/11/02/21:16:40.110047,7026194,1667449000,109532557,tool0_controller,-0.158410503,0.679335301,1.05045583,-0.008876804,-0.022514711,0.002246277,,,,,,,,,,,
2022/11/02/21:16:40.111724,7026195,1667449000,111573931,tool0_controller,-0.215444434,0.516278448,0.720161185,-0.004800642,-0.020385062,0.003000396,,,,,,,,,,,
2022/11/02/21:16:40.116592,7026196,1667449000,113575439,tool0_controller,-0.062785372,0.317146561,0.638972084,-0.008785748,-0.027244154,0.001734289,,,,,,,,,,,
2022/11/02/21:16:40.120866,7026197,1667449000,120479933,tool0_controller,0.010483537,0.407638658,0.427898184,-0.01054041,-0.024264909,0.005486929,,,,,,,,,,,
2022/11/02/21:16:40.123890,7026198,1667449000,123008638,tool0_controller,0.119152304,0.305544008,0.947543837,-0.008658584,-0.022070822,0.006128736,,,,,,,,,,,
2022/11/02/21:16:40.125493,7026199,1667449000,125304614,tool0_controller,-0.09847114,0.046151256,0.877149851,-0.003315922,-0.010642801,0.000824991,,,,,,,,,,,
2022/11/02/21:16:40.127770,7026200,1667449000,127574030,tool0_controller,-0.095635087,0.521562302,0.883989041,-0.012775737,-0.015289295,0.012540627,,,,,,,,,,,
2022/11/02/21:16:40.131552,7026201,1667449000,129250178,tool0_controller,-0.045728068,0.426162061,0.436024606,-0.008279281,-0.01455303,0.009474224,,,,,,,,,,,
2022/11/02/21:16:40.132645,7026202,1667449000,132477336,tool0_controller,-0.012023048,0.916598537,0.81892625,-0.008869671,-0.032755263,0.015159898,,,,,,,,,,,
2022/11/02/21:16:40.134316,7026203,1667449000,133895387,tool0_controller,-0.2027981,0.6641691,0.879526924,-0.008180624,-0.021328054,0.009299272,,,,,,,,,,,
2022/11/02/21:16:40.135528,7026204,1667449000,135224011,tool0_controller,-0.211091642,0.767091189,1.071047032,-0.010092507,-0.015297307,0.00997839,,,,,,,,,,,
2022/11/02/21:16:40.137106,7026205,1667449000,136591944,tool0_controller,0.096197699,0.53808816,0.854142273,-0.001805831,-0.009182358,0.005099986,,,,,,,,,,,
2022/11/02/21:16:40.138223,7026206,1667449000,137941928,tool0_controller,-0.012141112,0.377885765,0.619144176,-0.013306299,-0.008864629,0.000748288,,,,,,,,,,,
2022/11/02/21:16:40.139875,7026207,1667449000,139277154,tool0_controller,-0.155787057,0.500518031,0.573117306,-0.012790042,-0.024498776,0.003456763,,,,,,,,,,,
2022/11/02/21:16:40.141017,7026208,1667449000,140635246,tool0_controller,-0.022383579,0.367585078,0.37276755,-0.006310958,-0.033569318,0.002829212,,,,,,,,,,,
2022/11/02/21:16:40.142688,7026209,1667449000,142058669,tool0_controller,0.096779744,0.542831137,0.598183583,-0.010619042,-0.031029142,0.010903915,,,,,,,,,,,
2022/11/02/21:16:40.143816,7026210,1667449000,143537694,tool0_controller,-0.21708859,0.412389388,1.105143987,-0.012371619,-0.016929597,0.007673032,,,,,,,,,,,
2022/11/02/21:16:40.148867,7026211,1667449000,148263575,tool0_controller,-0.083242017,0.117493576,0.713568119,-0.009578576,0.003282703,0.001480471,,,,,,,,,,,
2022/11/02/21:16:40.150538,7026212,1667449000,149994339,tool0_controller,0.201459356,0.23927846,0.815761419,-0.014619031,-0.016591624,0.008435087,,,,,,,,,,,
2022/11/02/21:16:40.151666,7026213,1667449000,151396006,tool0_controller,-0.05263435,0.439010998,0.500575504,-0.008530312,-0.028863891,0.014402446,,,,,,,,,,,
2022/11/02/21:16:40.153392,7026214,1667449000,152807719,tool0_controller,0.08516693,0.287370564,0.492195461,-0.008424722,-0.037450347,0.002269173,,,,,,,,,,,
2022/11/02/21:16:40.154522,7026215,1667449000,154167594,tool0_controller,0.018042403,0.519829356,0.430183418,-0.013954422,-0.029550213,0.00722133,,,,,,,,,,,
2022/11/02/21:16:40.156184,7026216,1667449000,155516042,tool0_controller,-0.057401262,0.442132038,0.960609964,-0.007880118,-0.02214434,0.00180861,,,,,,,,,,,
2022/11/02/21:16:40.157890,7026217,1667449000,157521975,tool0_controller,-0.153862532,0.557912306,0.990724727,-0.00721835,-0.013330389,0.005751278,,,,,,,,,,,
2022/11/02/21:16:40.163781,7026218,1667449000,161849899,tool0_controller,-0.022768401,0.704025743,1.162550431,-0.012660008,-0.021092765,0.004783275,,,,,,,,,,,
