t,w,x,y,z,ax,ay,az
0,,
1,Revision @ user[16][6] = A5,Checking hardware revision...
2,>*......>......,Resetting memory bank selection to 0...
2692,1.00,-0.00,-0.00,-0.01,-373,-50,292
2693,1.00,-0.00,0.00,-0.01,-153,-30,423
2694,1.00,-0.00,-0.00,-0.01,110,-28,520
2695,1.00,-0.00,-0.00,-0.01,212,-93,408
2696,1.00,-0.00,-0.00,-0.01,58,-176,118
2697,1.00,-0.00,-0.00,-0.01,-264,-26,-122
2698,1.00,-0.00,0.00,-0.01,14,0,-19
2699,1.00,-0.00,-0.00,-0.01,285,28,12
2700,1.00,-0.00,-0.00,-0.01,288,7,-42
2701,1.00,-0.00,-0.00,-0.01,59,-11,-150
2702,1.00,-0.00,-0.00,-0.01,-371,87,-294
2703,1.00,-0.00,0.00,-0.01,-202,175,-201
2704,1.00,0.00,-0.00,-0.01,14,253,-91
2705,1.00,0.00,-0.00,-0.01,-46,222,-73
2706,1.00,0.00,-0.00,-0.01,-243,210,-20
2707,1.00,0.00,0.00,-0.01,-525,225,-68
2708,1.00,0.00,0.00,-0.01,-358,248,78
2709,1.00,0.00,0.00,-0.01,-71,269,319
2710,1.00,0.00,0.00,-0.01,58,180,276
2711,1.00,0.00,0.00,-0.01,-47,52,276
2712,1.00,0.00,0.00,-0.01,-327,59,167
2713,1.00,0.00,0.00,-0.01,-99,59,204
2714,1.00,0.00,0.00,-0.01,248,22,291
2715,1.00,0.00,-0.00,-0.01,339,-37,146
2716,1.00,0.00,-0.00,-0.01,144,-95,76
2717,1.00,0.00,0.00,-0.01,-195,-35,-121
2718,1.00,0.00,0.00,-0.01,-80,-13,-192
2719,1.00,0.00,-0.00,-0.01,207,36,-189
2720,1.00,0.00,-0.00,-0.01,227,52,-285
2721,1.00,0.00,-0.00,-0.01,-6,34,-299
2722,1.00,0.00,0.00,-0.01,-350,160,-450
2723,1.00,0.00,0.00,-0.01,-222,212,-362
2724,1.00,0.00,0.00,-0.01,23,195,-75
2725,1.00,0.00,0.00,-0.01,123,140,-38
2726,1.00,0.00,0.00,-0.01,-70,94,24
2727,1.00,0.00,0.00,-0.01,-371,96,30
2728,1.00,0.00,0.00,-0.01,-204,94,41
2729,1.00,0.00,0.00,-0.01,112,29,266
2730,1.00,0.00,0.00,-0.01,144,-39,333
2731,1.00,0.00,0.00,-0.01,12,-94,306
2732,1.00,0.00,0.00,-0.01,-282,-58,116
2733,1.00,0.00,0.00,-0.01,-132,-55,46
2734,1.00,0.00,0.00,-0.01,207,-82,77
2735,1.00,0.00,-0.00,-0.01,344,-131,26
2736,1.00,0.00,-0.00,-0.01,212,-122,-118
2737,1.00,0.00,0.00,-0.01,-106,-67,-307
2738,1.00,0.00,0.00,-0.01,35,-31,-396
2739,1.00,0.00,0.00,-0.01,269,-1,-300
2740,1.00,0.00,-0.00,-0.01,221,-16,-226
2741,1.00,0.00,-0.00,-0.01,-17,70,-294
2742,1.00,0.00,0.00,-0.01,-340,116,-400
2743,1.00,0.00,0.00,-0.01,-234,120,-450
2744,1.00,0.00,0.00,-0.01,23,123,-177
2745,1.00,0.00,0.00,-0.01,47,140,-27
2746,1.00,0.00,0.00,-0.01,-77,114,-21
2747,1.00,0.00,0.00,-0.01,-326,73,-89
2748,1.00,0.00,0.00,-0.01,-137,23,-156
2749,1.00,0.00,0.00,-0.01,162,19,112
2750,1.00,0.00,0.00,-0.01,255,10,298
2751,1.00,0.00,-0.00,-0.01,181,-40,223
2752,1.00,0.00,0.00,-0.01,-60,-126,86
