w,x,y,z,ax,ay,az
0.99,-0.01,0.11,0.00,-121,-95,761

0.99,-0.01,0.10,0.00,-101,-79,879

0.99,-0.02,0.10,0.00,-30,-81,1003

0.99,-0.02,0.10,0.01,13,-66,1040

0.99,-0.03,0.10,0.01,56,-68,896

0.99,-0.03,0.10,0.01,133,-39,839

0.99,-0.04,0.10,0.01,184,-31,907

0.99,-0.04,0.10,0.01,180,-17,891

0.99,-0.05,0.10,0.01,83,2,822

0.99,-0.06,0.10,0.01,51,27,767

0.99,-0.06,0.10,0.01,130,38,765

0.99,-0.07,0.10,0.01,157,32,746

0.99,-0.07,0.11,0.01,46,47,593

0.99,-0.07,0.11,0.01,-26,32,368

0.99,-0.07,0.11,0.00,-92,2,146

0.99,-0.07,0.11,0.00,-91,-18,48

0.99,-0.07,0.12,0.00,-123,-76,20

0.99,-0.07,0.12,0.00,-136,-120,-60

0.99,-0.07,0.12,0.00,-77,-169,-85

0.99,-0.06,0.13,0.00,9,-153,-97

0.99,-0.06,0.13,0.00,56,-138,-152

0.99,-0.06,0.13,0.00,90,-161,-196

0.99,-0.05,0.14,0.00,141,-164,-148

0.99,-0.05,0.14,0.00,253,-163,-37

0.99,-0.05,0.15,0.00,378,-139,33

0.99,-0.05,0.16,-0.00,476,-64,-41

0.99,-0.05,0.16,-0.00,635,-20,-14

0.98,-0.05,0.17,-0.00,710,-1,92

0.98,-0.05,0.18,-0.01,732,-4,149

0.98,-0.05,0.18,-0.01,689,-20,358

0.98,-0.05,0.19,-0.01,639,-40,513

0.98,-0.05,0.20,-0.01,581,-7,624

0.98,-0.05,0.20,-0.01,595,27,740

0.98,-0.05,0.21,-0.01,623,51,882

0.97,-0.06,0.22,-0.01,652,49,963

0.97,-0.06,0.22,-0.01,707,76,1045

0.97,-0.06,0.23,-0.02,726,131,1146

0.97,-0.07,0.24,-0.02,781,169,1170

0.97,-0.07,0.25,-0.02,847,191,1129

0.96,-0.08,0.26,-0.02,1012,214,1204

0.96,-0.08,0.27,-0.02,1110,218,1172

0.96,-0.08,0.28,-0.02,1088,225,1041

0.95,-0.09,0.30,-0.02,1058,225,945

